SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042616,00001M16:07:59.250,0001 15:30:29,,,274.52,,,
667042617,00001M16:08:00.223,0001 15:30:30,,,274.50,,,
667042618,00001M16:08:01.196,0001 15:30:31,,,274.52,,,
667042619,00001M16:08:02.169,0001 15:30:32,,,274.52,,,
667042620,00001M16:08:03.143,0001 15:30:33,,,274.52,,,
667042621,00001M16:08:04.116,0001 15:30:34,,,274.53,,,
667042622,00001M16:08:05.089,0001 15:30:35,,,274.51,,,
667042623,00001M16:08:06.063,0001 15:30:36,,,274.59,,,
667042624,00001M16:08:07.036,0001 15:30:37,,,274.52,,,
667042625,00001M16:08:08.009,0001 15:30:38,,,274.50,,,
667042626,00001M16:08:08.982,0001 15:30:39,,,274.55,,,
667042627,00001M16:08:09.956,0001 15:30:40,,,274.59,,,
667042628,00001M16:08:10.929,0001 15:30:41,,,274.54,,,
667042629,00001M16:08:11.902,0001 15:30:42,,,274.49,,,
667042630,00001M16:08:12.875,0001 15:30:43,,,274.57,,,
667042631,00001M16:08:13.849,0001 15:30:44,,,274.52,,,
667042632,00001M16:08:14.822,0001 15:30:45,,,274.53,,,
667042633,00001M16:08:15.795,0001 15:30:45,,,274.52,,,
667042634,00001M16:08:16.768,0001 15:30:46,,,274.56,,,
667042635,00001M16:08:17.742,0001 15:30:47,,,274.53,,,
667042636,00001M16:08:18.715,0001 15:30:48,,,274.52,,,
667042637,00001M16:08:19.688,0001 15:30:49,,,274.54,,,
667042638,00001M16:08:20.661,0001 15:30:50,,,274.55,,,
667042639,00001M16:08:21.635,0001 15:30:51,,,274.59,,,
667042640,00001M16:08:22.608,0001 15:30:52,,,274.55,,,
667042641,00001M16:08:23.581,0001 15:30:53,,,274.61,,,
667042642,00001M16:08:24.554,0001 15:30:54,,,274.53,,,
667042643,00001M16:08:25.528,0001 15:30:55,,,274.61,,,
667042644,00001M16:08:26.501,0001 15:30:56,,,274.58,,,
667042645,00001M16:08:27.474,0001 15:30:57,,,274.54,,,
667042646,00001M16:08:28.447,0001 15:30:58,,,274.58,,,
667042647,00001M16:08:29.421,0001 15:30:59,,,274.57,,,
667042648,00001M16:08:30.394,0001 15:31:00,,,274.59,,,
667042649,00001M16:08:31.367,0001 15:31:01,,,274.54,,,
667042650,00001M16:08:32.340,0001 15:31:02,,,274.55,,,
667042651,00001M16:08:33.314,0001 15:31:03,,,274.56,,,
667042652,00001M16:08:34.287,0001 15:31:04,,,274.62,,,
667042653,00001M16:08:35.260,0001 15:31:05,,,274.51,,,
667042654,00001M16:08:36.233,0001 15:31:06,,,274.59,,,
667042655,00001M16:08:37.207,0001 15:31:07,,,274.57,,,
667042656,00001M16:08:38.180,0001 15:31:08,,,274.60,,,
667042657,00001M16:08:39.153,0001 15:31:09,,,274.56,,,
667042658,00001M16:08:40.126,0001 15:31:10,,,274.59,,,
667042659,00001M16:08:41.100,0001 15:31:11,,,274.60,,,
667042660,00001M16:08:42.073,0001 15:31:12,,,274.51,,,
667042661,00001M16:08:43.046,0001 15:31:13,,,274.51,,,
667042662,00001M16:08:44.019,0001 15:31:14,,,274.68,,,
667042663,00001M16:08:44.993,0001 15:31:15,,,274.59,,,
667042664,00001M16:08:45.966,0001 15:31:16,,,274.60,,,
667042665,00001M16:08:46.939,0001 15:31:17,,,274.61,,,
667042666,00001M16:08:47.912,0001 15:31:18,,,274.68,,,
667042667,00001M16:08:48.886,0001 15:31:19,,,274.61,,,
667042668,00001M16:08:49.859,0001 15:31:20,,,274.69,,,
667042669,00001M16:08:50.832,0001 15:31:21,,,274.63,,,
667042670,00001M16:08:51.805,0001 15:31:22,,,274.69,,,
667042671,00001M16:08:52.779,0001 15:31:22,,,274.69,,,
667042672,00001M16:08:53.752,0001 15:31:23,,,274.63,,,
667042673,00001M16:08:54.725,0001 15:31:24,,,274.64,,,
667042674,00001M16:08:55.698,0001 15:31:25,,,274.71,,,
667042675,00001M16:08:56.672,0001 15:31:26,,,274.65,,,
667042676,00001M16:08:57.645,0001 15:31:27,,,274.69,,,
667042677,00001M16:08:58.618,0001 15:31:28,,,274.68,,,
667042678,00001M16:08:59.591,0001 15:31:29,,,274.72,,,
667042679,00001M16:09:00.565,0001 15:31:30,,,274.63,,,
667042680,00001M16:09:01.538,0001 15:31:31,,,274.67,,,
667042681,00001M16:09:02.511,0001 15:31:32,,,274.62,,,
667042682,00001M16:09:03.484,0001 15:31:33,,,274.66,,,
667042683,00001M16:09:04.458,0001 15:31:34,,,274.70,,,
667042684,00001M16:09:05.431,0001 15:31:35,,,274.62,,,
